name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
GJ_422	1	1	1	RV	None	None	None	26.161	-57 32 51.5988	0.05	
GJ_682	1	1	2	RV	None	None	None	17.478	-44 19 09.1697	0.08	
GJ_682	1	1	2	RV	None	None	None	57.32	-44 19 09.1697	0.10	
Gliese_1214	0	1	1	transit	604	None	0.2525	1.58040417	+04 57 49.7	0	
Gliese_15	0	2	1	RV	None	None	None	11.4433	+44 01 22.6282	0	
Gliese_163	1	1	3	RV	None	None	None	8.63182	-53 22 23	0.073	
Gliese_163	1	1	3	RV	302	None	None	25.63058	-53 22 23	0.099	
Gliese_163	1	1	3	RV	None	None	None	None	-53 22 23	0.373	
Gliese_176	0	1	1	RV	439.8	None	None	8.7836	+18 57 29	0.0	
Gliese_179	0	1	1	RV	None	None	None	2288	+06 28 36	0.21	
Gliese_221	1	1	2	RV	None	None	None	125.06	-05 59 41		
Gliese_221	1	1	2	RV	None	None	None	3.8731	-05 59 41		
Gliese_3021	0	2	1	RV	None	None	None	133.71	-79 51 04	0.511	
Gliese_317	0	1	2	RV	None	None	None	691.78	-23 27 23	0.11	
Gliese_317	0	1	2	RV	None	None	None	10000	-23 27 23	0.81	
Gliese_328	0	1	1	RV	None	None	None	4100	+01 32 56	0.37	
Gliese_3293	3	1	3	RV	None	None	None	30.60	-25 10 08.9	0.09	
Gliese_3293	3	1	3	RV	None	None	None	123.98	-25 10 08.9	0.37	
Gliese_3293	3	1	3	RV	None	None	None	48.14	-25 10 08.9	0.13	
Gliese_3341	0	1	1	RV	None	None	None	14.207	-31 17 46.6	0.31	
Gliese_3470	0	1	1	transit		None	0.346	3.3366487	+15 23 30	0.017	
Gliese_3634	0	1	1	RV	565.4	None	None	2.64561	-31 08 39	0.08	
Gliese_433	0	1	2	RV	416.2	None	None	7.3697	-32 32 24	0.05	
Gliese_433	0	1	2	RV	None	None	None	3400	-32 32 24	0.08	
Gliese_436	0	1	2	transit	650.3	None	0.3767	2.643850	+26 42 23	0.15	
Gliese_436	0	1	2	transit	813.5	None	0.06014599	1.3658	+26 42 23	0	
Gliese_504	0	1	1	imaging	510	None	None	None	+09 25 27	None	
Gliese_581	2	1	6	RV	419.2	None	None	5.3686	-07 43 20		
Gliese_581	2	1	6	RV	312.7	None	None	12.914	-07 43 20		
Gliese_581	2	1	6	RV	181.0	None	None	66.64	-07 43 20	0.25	
Gliese_581	2	1	6	RV	500.8	None	None	3.1490	-07 43 20		
Gliese_581	2	1	6	RV	None	None	None	433	-07 43 20	0	
Gliese_581	2	1	6	RV	230.9	None	None	36.5	-07 43 20	0	
Gliese_649	0	1	2	RV	102.2	None	None	598.3	+25 44 39	0.3	
Gliese_649	0	1	2	RV	None	None	None	4.4762	+25 44 39	0.20	
Gliese_667	4	3	7	RV	None	None	None	7.2004	-34 59 23	0.13	
Gliese_667	4	3	7	RV	None	None	None	16.946	-34 59 23	0.06	
Gliese_667	4	3	7	RV	None	None	None	28.140	-34 59 23	0.02	
Gliese_667	4	3	7	RV	None	None	None	39.026	-34 59 23	0.03	
Gliese_667	4	3	7	RV	None	None	None	62.24	-34 59 23	0.02	
Gliese_667	4	3	7	RV	None	None	None	91.61	-34 59 23	0.03	
Gliese_667	4	3	7	RV	None	None	None	256.2	-34 59 23	0.08	
Gliese_674	0	1	1	RV	519.6	None	None	4.6938	-46 53 43	0.2	
Gliese_676	0	2	4	RV	None	None	None	3.6000	-51 38 13	0.15	
Gliese_676	0	2	4	RV	None	None	None	35.37	-51 38 13	0.24	
Gliese_676	0	2	4	RV	None	None	None	1050.3	-51 38 13	0.328	
Gliese_676	0	2	4	RV	None	None	None	4400	-51 38 13	0.2	
Gliese_687	1	1	1	RV	None	None	None	38.14	+68 20 20.9108	0.04	
Gliese_777	0	2	2	RV	None	None	None	2891	+29 53 48	0.36	
Gliese_777	0	2	2	RV	None	None	None	17.1	+29 53 48	0.01	
Gliese_785	1	1	2	RV	331.7	None	None	74.72	-27 01 58	0.13	
Gliese_785	1	1	2	RV	171.8	None	None	525.8	-27 01 58	0.32	
Gliese_832	1	1	2	RV	None	None	None	3660	-49 00 32	0.08	
Gliese_832	1	1	2	RV	None	None	None	35.67	-49 00 32	0.03	
Gliese_849	0	1	2	RV	None	None	None	1915	-04 38 27	0.02	
Gliese_849	0	1	2	RV	None	None	None	7067	-04 38 27	0.3	
Gliese_86	0	2	1	RV	657.6	None	None	15.766	-50 50 00	0.046	
Gliese_876	2	1	4	RV	194.2	None	None	61.1166	-14 15 13	0.0324	
Gliese_876	2	1	4	RV	245.2	None	None	30.0881	-14 15 13	0.25591	
Gliese_876	2	1	4	RV	612.8	None	None	1.937780	-14 15 13	0.207	
Gliese_876	2	1	4	RV	153.3	None	None	124.26	-14 15 13	0.055	
GQ_Lup	1	1	1	imaging	None	None	1.8	None	-35 39 03	None	
GSC_06214-00210	0	1	1	imaging	2200	None	None	None	-20 43 07	None	
GU_Psc	0	1	1	imaging	1050	None	None	None	+17 03 56	None	
HAT-P-11	0	1	1	transit	790.9	None	0.452	4.887804	+48 04 51	0.198	
