mass        radius
None        0.15401
None        0.26792
None        0.26792
None        0.09751
None        0.21962
None        0.18317
None        0.16130
None        0.08111
None        0.09113
None        0.16312
None        0.20504
None        0.13032
None        0.13670
None        0.18044
None        0.14034
None        0.16768
None        0.30802
None        0.21324
None        0.30346
None        0.30984
None        0.26154
None        0.25608
0.27619        0.26610
0.20856        0.30620
None        0.37090
None        0.32716
None        0.48664
None        0.32989
None        0.45201
None        0.364521
None        0.44653
None        0.13214
None        0.18317
None        0.48390
None        0.25699
None        0.20778
None        0.23420
None        0.09204
None        0.10936
None        0.19411
None        0.16586
None        0.20413
None        0.23785
None        0.12211
None        0.10207
None        0.11300
None        0.12485
None        0.12120
None        0.16130
None        0.29708
None        0.21233
None        0.25972
None        0.15219
None        0.24332
0.023        0.192
0.013        0.239
0.415        1.034
None        0.32806906
None        0.30984
None        0.24605
None        0.20504
None        0.19684
None        0.17132
None        0.21416
None        0.20322
None        0.24332
None        0.13396
None        0.12029
None        0.27977
None        0.34903
None        0.24696
None        0.16130
None        0.11118
None        0.10662
None        0.12394
None        0.178
None        0.186
None        0.144
None        0.161
None        0.136
None        0.26154
None        0.59599
None        0.17862
None        0.17588
None        0.22783
None        0.24150
None        0.16950
None        0.12029
None        0.17041
None        0.328069
0.3        0.26427
None        0.20504
None        0.15219
None        0.12303
None        0.15948
None        0.12303
None        1.13457
None        0.36999
None        0.08111
None        0.10389
None        0.26063
None        0.25061
None        0.19775
None        0.26246
None        0.25608
None        0.24696
None        0.21416
None        0.13852
None        0.22509
None        0.20687
0.00786        0.29162
0.00377        0.25516
None        0.14854
None        0.19320
None        0.19684
None        0.14216
None        0.22874
None        0.30802
None        0.22509
None        0.10845
None        0.15492
None        0.13032
None        0.28706
None        0.11756
None        0.23056
None        0.23420
None        0.26428
None        0.07564
None        0.34356
None        0.37819
None        0.10571
None        0.09660
None        0.19046
None        0.15674
None        0.42922
None        0.33536
None        0.23967
None        0.20869
None        0.14854
None        0.57868
None        0.51489
None        0.41555
None        0.12485
None        0.10389
None        0.21142
None        0.16130
None        0.15219
None        0.09204
None        0.14854
None        0.13032
None        0.28706
None        0.10389
None        0.26519
None        0.23147
None        0.25425
None        0.12758
None        0.13852
None        0.11027
None        0.10115
None        0.15766
None        0.09386
None        0.17588
None        0.12758
None        0.19137
None        0.20231
None        0.21780
None        0.10024
None        0.07290
None        0.17770
None        0.12303
None        0.16586
None        0.16768
None        0.14945
None        0.10662
None        0.09933
None        0.10753
None        0.12029
None        0.10115
None        0.13032
None        0.10207
None        0.12849
None        0.30893
None        0.27977
None        0.21598
None        0.19137
None        0.09295
None        0.18682
None        0.14034
0.0963        0.22236
None        0.21324
None        0.27339
0.027        0.139
None        0.12941
None        0.10662
None        0.10480
None        0.158566
None        0.2916
None        0.487547
None        0.366343
None        0.406441
None        0.30711
None        0.23056
None        0.15492
None        0.16859
None        0.10753
None        0.18135
None        0.20504
None        0.22691
None        0.17862
None        0.21962
None        0.18408
None        0.23785
None        0.26883
None        0.10936
None        0.06744
None        0.24241
None        0.27977
None        0.17953
None        0.15948
None        0.13852
None        0.12120
None        0.17315
None        0.17862
0.22        0.764
None        0.28524
None        0.25243
None        0.16859
None        0.29071
None        0.27886
None        0.11300
None        0.07837
None        0.12576
None        0.08111
None        0.16768
None        0.11300
None        0.11938
None        0.24696
None        0.13305
None        0.16495
None        0.14307
None        0.31258
None        0.16768
None        0.24332
None        0.25972
