name         nplanets
SR 12 AB        1
Sun        9
SWEEPS-11        1
SWEEPS-4        1
tau Boo        1
tau Ceti        5
tau Gem        1
TrES-1        1
TrES-2        1
TrES-3        1
TrES-4        1
TrES-5        1
TYC 1422-614-1        2
Upsilon Andromedae        4
UScoCTIO 108        1
UZ For(ab)        1
V391 Peg        1
WASP-100        1
WASP-101        1
WASP-103        1
WASP-104        1
WASP-106        1
WASP-108        1
WASP-109        1
WASP-10        1
WASP-110        1
WASP-111        1
WASP-112        1
WASP-117        1
WASP-11        1
WASP-12        1
WASP-13        1
WASP-14        1
WASP-15        1
WASP-16        1
WASP-17        1
WASP-18        1
WASP-19        1
WASP-1        1
WASP-20        1
WASP-21        1
WASP-22        1
WASP-23        1
WASP-24        1
WASP-25        1
WASP-26        1
WASP-28        1
WASP-29        1
WASP-2        1
WASP-31        1
WASP-32        1
WASP-33        1
WASP-34        1
WASP-35        1
WASP-36        1
WASP-37        1
WASP-38        1
WASP-39        1
WASP-3        1
WASP-41        1
WASP-42        1
WASP-43        1
WASP-44        1
WASP-45        1
WASP-46        1
WASP-47        1
WASP-48        1
WASP-49        1
WASP-4        1
WASP-50        1
WASP-52        1
WASP-53        1
WASP-54        1
WASP-55        1
WASP-56        1
WASP-57        1
WASP-58        1
WASP-59        1
WASP-5        1
WASP-60        1
WASP-61        1
WASP-62        1
WASP-63        1
WASP-64        1
WASP-65        1
WASP-66        1
WASP-67        1
WASP-68        1
WASP-69        1
WASP-6        1
WASP-70        1
WASP-71        1
WASP-72        1
WASP-73        1
WASP-74        1
WASP-75        1
WASP-76        1
WASP-77        1
WASP-78        1
WASP-79        1
WASP-7        1
WASP-80        1
WASP-82        1
WASP-83        1
WASP-84        1
WASP-85        1
WASP-87        1
WASP-88        1
WASP-89        1
WASP-8        1
WASP-90        1
WASP-94        2
WASP-95        1
WASP-96        1
WASP-97        1
WASP-98        1
WASP-99        1
WD 0806-661        1
WTS-1        1
WTS-2        1
xi Aql        1
XO-1        1
XO-2        4
XO-3        1
XO-4        1
XO-5        1
YBP1194        1
YBP1514        1
